experiment_name	model_family	experiment_type	relative_source_dir	config_file	has_best_model	has_latest_model	checkpoint_count	has_optimizer_state	miou	accuracy	kappa	f1	precision	recall	loss	best_epoch_or_iter	metric_source	recommend_publish	notes
deeplabv3_gid_nromal/output	DeepLabV3+	GID15 normal baseline	paddlers/deeplabv3_gid_nromal/output	paddlers/deeplabv3_gid_nromal/output/train_config.json	yes	no	8	yes	0.526867	0.786168	0.732505	0.658267	0.677079	0.662293			paddlers/deeplabv3_gid_nromal/output/best_model/eval_details.json	yes	16类, crop_size=512, train_batch_size=16, epochs=40; 指标由混淆矩阵计算
fastseg_gid15_nromal/output	FactSeg/FastSeg	GID15 normal baseline	paddlers/fastseg_gid15_nromal/output	paddlers/fastseg_gid15_nromal/output/train_config.json	yes	no	8	yes	0.129983	0.465505	0.188082	0.225690	0.740554	0.172932			paddlers/fastseg_gid15_nromal/output/best_model_metrics.json	yes	16类, crop_size=512, train_batch_size=8, epochs=40
farseg_gid15_normal/output	FarSeg	GID15 normal baseline	paddlers/farseg_gid15_normal/output	paddlers/farseg_gid15_normal/output/train_config.json	yes	no	36	yes	0.507928	0.757180	0.697622	0.648572	0.646378	0.664518			paddlers/farseg_gid15_normal/output/best_model/eval_details.json	yes	16类, crop=512, bs=8, epochs=40; 指标由混淆矩阵计算
fastscnn_gid15_normal/output	FastSCNN	GID15 normal baseline	paddlers/fastscnn_gid15_normal/output	paddlers/fastscnn_gid15_normal/output/train_config.json	yes	no	40	yes	0.469304	0.736937	0.668483	0.612072	0.627226	0.612254			paddlers/fastscnn_gid15_normal/output/best_model/eval_details.json	yes	16类, crop=512, bs=8, epochs=40; 指标由混淆矩阵计算
hrnet_gid15_normal/output	HRNet	GID15 normal baseline	paddlers/hrnet_gid15_normal/output	paddlers/hrnet_gid15_normal/output/train_config.json	yes	no	27	yes	0.430103	0.722239	0.649383	0.603677	0.625154	0.571819			paddlers/hrnet_gid15_normal/output/best_model/eval_details.json	yes	16类, crop=512, bs=5, epochs=40; 指标由混淆矩阵计算
hrnet_gid15_normal/output_stable	HRNet	GID15 normal baseline	paddlers/hrnet_gid15_normal/output_stable	paddlers/hrnet_gid15_normal/output_stable/train_config.json	yes	no	40	yes	0.474284	0.714009	0.617053	0.695143	0.668096	0.724473			paddlers/hrnet_gid15_normal/output_stable/best_model_metrics.json	yes	16类, crop=512, bs=4, epochs=40
unet_data_split/multihead	UNet	cluster-routed multihead	paddlers/unet_data_split/output/multihead	paddlers/unet_data_split/output/multihead/config_snapshot/resolved_train_config.json	yes	yes	41	yes	0.383720	0.723863	0.626882	0.725946	0.642564	0.834196	0.816243	38	paddlers/unet_data_split/output/multihead/best_model_metrics.json	yes	16类, K=4, heads=4, crop=512, bs=4, epochs=40
unet_data_split/singlehead	UNet	cluster-routed singlehead	paddlers/unet_data_split/output/singlehead	paddlers/unet_data_split/output/singlehead/config_snapshot/resolved_train_config.json	yes	yes	41	yes	0.378758	0.724935	0.630498	0.724373	0.667064	0.792455	0.838372	36	paddlers/unet_data_split/output/singlehead/best_model_metrics.json	yes	16类, K=4, heads=1, crop=512, bs=4, epochs=40
deeplabv3_data_split/output	DeepLabV3+	cluster-routed data_split	paddlers/deeplabv3_data_split/output	paddlers/deeplabv3_data_split/output/config_snapshot/resolved_train_config.json	yes	yes	42	yes	0.025525	0.025073					88.764191		paddlers/deeplabv3_data_split/output/metrics/smoke_test_metrics.json	review	16类, K=4, heads=4, crop=640, bs=2, epochs=40; smoke/probe，不作为正式结果
deeplabv3_gid_nromal/archive_oversample_mixloss_20260325_165404	DeepLabV3+	archive baseline	paddlers/deeplabv3_gid_nromal/output/archive_oversample_mixloss_20260325_165404	paddlers/deeplabv3_gid_nromal/output/archive_oversample_mixloss_20260325_165404/train_config.json	yes	no	8	yes	0.451574	0.712147	0.615652	0.579046	0.585847	0.649488			paddlers/deeplabv3_gid_nromal/output/archive_oversample_mixloss_20260325_165404/best_model_metrics.json	review	16类, crop_size=512, train_batch_size=4, epochs=40; archive 历史结果
fastseg_gid15_nromal/archive_restart_20260326_161955	FactSeg/FastSeg	archive baseline	paddlers/fastseg_gid15_nromal/output/archive_restart_20260326_161955	paddlers/fastseg_gid15_nromal/output/archive_restart_20260326_161955/train_config.json	yes	no	8	yes	0.169774	0.436000	0.149374	0.269853	0.748501	0.214493			paddlers/fastseg_gid15_nromal/output/archive_restart_20260326_161955/best_model_metrics.json	review	16类, crop_size=512, train_batch_size=8, epochs=40; archive 历史结果
farseg_data_split/output	FarSeg	cluster-routed data_split	paddlers/farseg_data_split/output	paddlers/farseg_data_split/output/config_snapshot/resolved_train_config.json	yes	yes	2	yes	0.029716	0.109487					2.410856		paddlers/farseg_data_split/output/metrics/smoke_test_metrics.json	review	16类, K=4, heads=4, crop=512, bs=1, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/gpu_smoke	FarSeg	smoke/probe	paddlers/farseg_data_split/output/gpu_smoke	paddlers/farseg_data_split/output/gpu_smoke/config_snapshot/resolved_train_config.json	yes	yes	1	yes	0.095989	0.359648					2.308491		paddlers/farseg_data_split/output/gpu_smoke/metrics/smoke_test_metrics.json	review	16类, K=4, heads=4, crop=512, bs=8, epochs=40; smoke/probe，不作为正式结果
fastscnn_data_split/acceptance_k4_20260405_174500	FastSCNN	formal routed experiment	paddlers/fastscnn_data_split/output/acceptance_k4_20260405_174500	paddlers/fastscnn_data_split/output/acceptance_k4_20260405_174500/config_snapshot/resolved_train_config.json	yes	yes	2	yes	0.064097	0.320308					3.357698		paddlers/fastscnn_data_split/output/acceptance_k4_20260405_174500/metrics/smoke_test_metrics.json	review	16类, K=4, heads=4, crop=512, bs=4, epochs=1; smoke/probe，不作为正式结果
hrnet_data_split/output	HRNet	cluster-routed data_split	paddlers/hrnet_data_split/output	paddlers/hrnet_data_split/output/config_snapshot/resolved_train_config.json	yes	yes	41	yes	0.434319	0.756966	0.674375				0.900289	35	paddlers/hrnet_data_split/output/metrics/val_epoch_035.json	review	16类, K=4, heads=4, crop=512, bs=4, epochs=40
farseg_data_split/batch_probes_20260405_1139/bs02	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs02	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs02/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=2, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs04	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs04	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs04/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=4, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs06	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs06	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs06/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=6, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs08	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs08	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs08/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=8, epochs=1; smoke/probe，不作为正式结果
farseg_data_split/batch_probes_20260405_1139/bs10	FarSeg	smoke/probe	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs10	paddlers/farseg_data_split/output/batch_probes_20260405_1139/bs10/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=10, epochs=1; smoke/probe，不作为正式结果
